fold_id,sampling,model_name,tn,fp,fn,tp,accuracy,precision,recall,f1_score,roc_auc,rb_recall,feature_set
4,baseline,random_forest_classifier,131,9,18,53,0.8720379146919431,0.8548387096774194,0.7464788732394366,0.7969924812030075,0.9334004024144869,0.7464788732394366,full_enhanced
4,baseline,feedforward_neural_network,121,19,12,59,0.8530805687203792,0.7564102564102564,0.8309859154929577,0.7919463087248322,0.9145875251509055,0.8309859154929577,full_enhanced
4,smote,logistic_regression,120,20,11,60,0.8530805687203792,0.75,0.8450704225352113,0.7947019867549668,0.9209255533199195,0.8450704225352113,full_enhanced
4,smote,random_forest_classifier,126,14,14,57,0.8672985781990521,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.9346076458752516,0.8028169014084507,full_enhanced
4,smote,feedforward_neural_network,126,14,14,57,0.8672985781990521,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.9223340040241448,0.8028169014084507,full_enhanced
5,baseline,logistic_regression,126,14,14,57,0.8672985781990521,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.9324949698189134,0.8028169014084507,full_enhanced
5,baseline,random_forest_classifier,132,8,19,52,0.8720379146919431,0.8666666666666667,0.7323943661971831,0.7938931297709924,0.9380281690140846,0.7323943661971831,full_enhanced
5,baseline,feedforward_neural_network,134,6,16,55,0.8957345971563981,0.9016393442622951,0.7746478873239436,0.8333333333333334,0.9382293762575453,0.7746478873239436,full_enhanced
5,smote,logistic_regression,122,18,11,60,0.8625592417061612,0.7692307692307693,0.8450704225352113,0.8053691275167785,0.9281690140845071,0.8450704225352113,full_enhanced
5,smote,random_forest_classifier,131,9,16,55,0.8815165876777251,0.859375,0.7746478873239436,0.8148148148148148,0.9409456740442655,0.7746478873239436,full_enhanced
5,smote,feedforward_neural_network,129,11,11,60,0.8957345971563981,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.9444668008048289,0.8450704225352113,full_enhanced
1,baseline,logistic_regression,130,9,26,46,0.8341232227488151,0.8363636363636363,0.6388888888888888,0.7244094488188977,0.8941846522781774,0.6388888888888888,top_ranked
1,baseline,random_forest_classifier,129,10,20,52,0.8578199052132701,0.8387096774193549,0.7222222222222222,0.7761194029850746,0.918615107913669,0.7222222222222222,top_ranked
1,baseline,feedforward_neural_network,129,10,17,55,0.8720379146919431,0.8461538461538461,0.7638888888888888,0.8029197080291971,0.923960831334932,0.7638888888888888,top_ranked
1,smote,logistic_regression,121,18,17,55,0.8341232227488151,0.7534246575342466,0.7638888888888888,0.7586206896551724,0.8939848121502798,0.7638888888888888,top_ranked
1,smote,random_forest_classifier,125,14,16,56,0.8578199052132701,0.8,0.7777777777777778,0.7887323943661971,0.915167865707434,0.7777777777777778,top_ranked
1,smote,feedforward_neural_network,122,17,11,61,0.8672985781990521,0.782051282051282,0.8472222222222222,0.8133333333333334,0.9213629096722621,0.8472222222222222,top_ranked
2,baseline,logistic_regression,123,17,18,53,0.8341232227488151,0.7571428571428571,0.7464788732394366,0.75177304964539,0.8792756539235413,0.7464788732394366,top_ranked
